Название;Дата начала;Дата окончания;Статус организатора;Банковские реквизиты
Комплексные работы в сфере информационных технологий «под ключ»;2021-11-02 09:00:00;2021-11-09 09:00:00;Опубликовано;"БИК: HSBKKZKX, ИИК: KZ706010131000043597, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по техническому обслуживанию легкового автотранспорта ;2021-11-02 09:00:00;2021-11-09 09:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ74125KZTN005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Термометры для Филиала АО «ЕНПФ» в г. Алматы на 2021 год ;2021-11-02 09:00:00;2021-11-09 09:00:00;Опубликовано;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Топливо дизельное (зимнее);2021-10-27 09:00:00;2021-11-03 09:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Программное обеспечение;2021-11-02 09:00:00;2021-11-09 10:00:00;Опубликовано;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Работы по ремонту нежилых зданий/сооружений/помещений;2021-10-27 09:00:00;2021-10-29 13:48:39;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуга по обязательному страхованию гражданско-правовой ответственности владельца транспортного средства ;2021-10-20 16:30:00;2021-10-22 10:37:49;Завершено;"БИК: HSBKKZKX, ИИК: KZ706010131000043597, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по продлению технической поддержки средств антивирусной защиты ;2021-10-20 17:00:00;2021-10-27 17:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Выключатель;2021-10-27 09:00:00;2021-10-27 16:04:45;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Спецодежды и средств индивидуальной защиты;2021-11-02 09:00:00;2021-11-09 09:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по повышению квалификации работников на курсах «Обучение - Аудит информационной безопасности (г. Алматы)» ;2021-10-14 12:00:00;2021-10-19 12:26:15;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Гофрокартон;2021-10-21 09:00:00;2021-10-28 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию дизель-генераторов с устранением аварийных неисправностей;2021-10-27 09:00:00;2021-11-03 09:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Модуль голосовой/факсовый сетевой VoIP;2021-11-02 09:00:00;2021-11-09 09:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка услуг по прохождению курса «1С:Предприятие 8. Зарплата и управление персоналом для Казахстана» Редакция 3.1 Практическое применение типовой конфигурации»;2021-10-07 16:00:00;2021-10-14 16:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по оценке автотранспортных средств;2021-10-20 14:00:00;2021-10-20 15:16:30;Завершено;"БИК: HSBKKZKX, ИИК: KZ706010131000043597, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
